year settled,year filed,Agency,Amount,Category,Race,Disability,Sex,Religion,Whistleblower,National Origin,Age,Sexual Orientation,Sexual Harassment,Discrimination,Victim of Domestic Violence,Retaliation,Wrongful Termination,Disbaility,Pregnancy,HIV
2003,2000,Police Department,9500.00,"Age,Disability",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,2003,Police Department,10000.00,"Race,National Origin",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,2003,Police Department,10000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2000,Police Department,20000.00,Discrimination,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,2001,Police Department,25000.00,Discrimination,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,2002,Police Department,35000.00,"Gender,Race,Origin",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1999,Police Department,70000.00,Harassment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,2002,Police Department,70000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2003,Police Department,95000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1996,Police Department,115000.00,"Race,Gender",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1997,Police Department,660002.29,"Gender,Disability",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2001,Police Department,2365590.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2003,Department of Education,14001.00,"Sex,Gender",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2003,Department of Education,40000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2001,Department of Education,40000.00,"Race,National Origin",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,2000,Department of Education,65000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,2003,Department of Education,65000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
